# Best products by sales (product, sales)  
|2016-11-04 00:00:00|662|£ 5323.25|
|2016-05-02 00:00:00|661|£ 5498.54|
|2016-09-08 00:00:00|659|£ 5206.40|
|2016-06-23 00:00:00|659|£ 5873.45|
|2016-08-12 00:00:00|656|£ 5781.12|
|2016-11-03 00:00:00|656|£ 5439.22|
|2016-09-26 00:00:00|654|£ 5245.07|
|2016-09-27 00:00:00|651|£ 5842.94|
|2016-05-04 00:00:00|645|£ 5372.40|
|2016-08-24 00:00:00|645|£ 4235.52|
|2016-02-04 00:00:00|645|£ 6529.56|
|2016-03-08 00:00:00|643|£ 5129.89|
|2016-03-23 00:00:00|642|£ 5499.05|
|2016-07-06 00:00:00|640|£ 4947.58|
|2016-03-03 00:00:00|636|£ 4804.25|
|2016-11-14 00:00:00|631|£ 5517.92|
|2016-04-07 00:00:00|627|£ 5758.05|
|2016-10-03 00:00:00|627|£ 6622.43|
|2016-05-03 00:00:00|626|£ 5672.45|
|2016-05-23 00:00:00|626|£ 5166.27|
|2016-06-13 00:00:00|625|£ 5381.36|
|2016-01-26 00:00:00|625|£ 4292.46|
|2016-01-18 00:00:00|624|£ 5100.89|
|2016-10-10 00:00:00|624|£ 5085.10|
|2016-03-09 00:00:00|622|£ 5479.57|
|2016-12-17 00:00:00|621|£ 4384.80|
|2016-03-15 00:00:00|620|£ 5441.94|
|2016-09-16 00:00:00|615|£ 5913.19|
|2016-12-29 00:00:00|614|£ 3940.49|
|2016-04-29 00:00:00|613|£ 5661.83|
|2016-07-18 00:00:00|611|£ 4524.05|
|2016-11-09 00:00:00|608|£ 6244.75|
|2016-09-28 00:00:00|607|£ 6155.27|
|2016-07-21 00:00:00|606|£ 5475.63|
|2016-03-21 00:00:00|605|£ 5710.63|
|2016-02-13 00:00:00|603|£ 4125.36|
|2016-04-12 00:00:00|602|£ 4437.29|
|2016-04-26 00:00:00|602|£ 4904.54|
|2016-11-23 00:00:00|601|£ 4920.21|
|2016-05-05 00:00:00|601|£ 5294.85|
|2016-06-29 00:00:00|601|£ 4602.14|
|2016-01-20 00:00:00|599|£ 4728.04|
|2016-02-18 00:00:00|598|£ 5478.48|
|2016-06-02 00:00:00|596|£ 5723.94|
|2016-04-20 00:00:00|596|£ 3942.84|
|2016-10-04 00:00:00|593|£ 3885.18|
|2016-01-05 00:00:00|590|£ 4919.03|
|2016-07-11 00:00:00|590|£ 4228.33|
|2016-02-05 00:00:00|590|£ 4970.51|
|2016-11-02 00:00:00|589|£ 4810.55|
|2016-04-27 00:00:00|586|£ 4696.76|
|2016-08-01 00:00:00|584|£ 4521.47|
|2016-09-29 00:00:00|582|£ 4118.08|
|2016-11-17 00:00:00|580|£ 3560.19|
|2016-02-24 00:00:00|579|£ 5565.05|
|2016-07-07 00:00:00|577|£ 5043.54|
|2016-02-09 00:00:00|577|£ 3671.48|
|2016-01-28 00:00:00|575|£ 4683.00|
|2016-06-01 00:00:00|573|£ 4750.01|
|2016-11-28 00:00:00|572|£ 4613.06|
|2016-08-19 00:00:00|570|£ 5594.25|
|2016-02-16 00:00:00|570|£ 4186.84|
|2016-01-07 00:00:00|569|£ 3477.91|
|2016-11-16 00:00:00|568|£ 4823.40|
|2016-05-30 00:00:00|567|£ 4631.52|
|2016-07-01 00:00:00|566|£ 5556.63|
|2016-05-10 00:00:00|565|£ 5321.71|
|2016-10-18 00:00:00|564|£ 5324.49|
|2016-06-24 00:00:00|564|£ 4387.00|
|2016-09-06 00:00:00|564|£ 5498.36|
|2016-06-03 00:00:00|563|£ 5984.56|
|2016-06-20 00:00:00|562|£ 4903.73|
|2016-01-19 00:00:00|561|£ 5017.68|
|2016-06-06 00:00:00|559|£ 4025.85|
|2016-08-26 00:00:00|558|£ 5254.72|
|2016-03-31 00:00:00|557|£ 4945.80|
|2016-10-26 00:00:00|556|£ 4994.61|
|2016-10-11 00:00:00|555|£ 4786.57|
|2016-10-27 00:00:00|554|£ 4161.42|
|2016-11-07 00:00:00|554|£ 3955.86|
|2016-04-01 00:00:00|553|£ 4637.34|
|2016-03-11 00:00:00|552|£ 4842.16|
|2016-11-11 00:00:00|549|£ 5379.62|
|2016-07-20 00:00:00|547|£ 5125.72|
|2016-10-25 00:00:00|547|£ 4160.84|
|2016-08-23 00:00:00|546|£ 5307.82|
|2016-06-27 00:00:00|542|£ 4508.54|
|2016-06-30 00:00:00|542|£ 5107.14|
|2016-04-06 00:00:00|542|£ 5546.41|
|2016-07-13 00:00:00|540|£ 5596.42|
|2016-08-17 00:00:00|539|£ 4457.58|
|2016-11-22 00:00:00|539|£ 4853.75|
|2016-11-29 00:00:00|536|£ 5849.67|
|2016-08-04 00:00:00|534|£ 5164.34|
|2016-08-16 00:00:00|533|£ 4917.43|
|2016-01-04 00:00:00|530|£ 3273.27|
|2016-04-18 00:00:00|530|£ 5042.42|
|2016-07-29 00:00:00|528|£ 4580.49|
|2016-05-11 00:00:00|528|£ 3967.92|
|2016-11-26 00:00:00|523|£ 3699.21|
|2016-01-22 00:00:00|522|£ 4628.76|
|2016-05-31 00:00:00|522|£ 4186.64|
|2016-03-02 00:00:00|520|£ 4790.12|
|2016-06-22 00:00:00|516|£ 4523.52|
|2016-08-11 00:00:00|509|£ 4821.56|
|2016-06-14 00:00:00|508|£ 4298.45|
|2016-09-12 00:00:00|508|£ 5394.20|
|2016-08-22 00:00:00|506|£ 4548.37|
|2016-07-25 00:00:00|503|£ 4164.55|
|2016-08-05 00:00:00|500|£ 4424.87|
|2016-03-01 00:00:00|497|£ 4436.42|
|2016-07-22 00:00:00|496|£ 4731.94|
|2016-01-29 00:00:00|493|£ 5086.04|
|2016-08-03 00:00:00|493|£ 4481.43|
|2016-09-24 00:00:00|492|£ 3809.07|
|2016-09-05 00:00:00|487|£ 4748.26|
|2016-02-01 00:00:00|483|£ 4341.46|
